Team_1,Team_2,Team_1_Score,Team_2_Score,Result
Michigan State,LIU-Brooklyn,89,67,0
Saint Louis,Memphis,61,54,1
Long Beach State,New Mexico,68,75,1
Louisville,Davidson,69,62,0
Murray State,Colorado State,58,41,0
Marquette,BYU,88,68,0
Virginia,Florida,45,71,1
Norfolk State,Missouri,86,84,1
Michigan State,Saint Louis,65,61,0
New Mexico,Louisville,56,59,0
Marquette,Murray State,62,53,1
Norfolk State,Florida,50,84,1
Michigan State,Louisville,44,57,0
Florida,Marquette,68,58,1
Florida,Louisville,68,72,1
Vermont,UNC,58,77,1
Creighton,Alabama,58,57,0
Temple,South Florida,44,58,0
Michigan,Ohio,60,65,0
NC State,San Diego State,79,65,1
Belmont,Georgetown,59,74,1
Purdue,Saint Mary's,72,69,1
Kansas,Detroit,65,50,0
UNC,Creighton,87,73,0
South Florida,Ohio,56,62,0
NC State,Georgetown,66,63,0
Purdue,Kansas,60,63,0
Ohio,UNC,65,73,1
Kansas,NC State,60,57,1
UNC,Kansas,67,80,0
Kentucky,Western Kentucky,81,66,0
UConn,Iowa State,64,77,1
VCU,Wichita State,62,59,1
Indiana,New Mexico State,79,66,0
Colorado,UNLV,68,64,1
Baylor,South Dakota State,68,60,0
Notre Dame,Xavier,63,67,0
Duke,Lehigh,70,75,0
Iowa State,Kentucky,71,87,1
Indiana,VCU,63,61,1
Colorado,Baylor,63,80,0
Xavier,Lehigh,70,58,0
Indiana,Kentucky,90,102,1
Xavier,Baylor,70,75,1
Baylor,Kentucky,70,82,1
UNC Asheville,Syracuse,65,72,1
Southern Miss,Kansas State,64,70,1
Vanderbilt,Harvard,79,70,0
Wisconsin,Montana,73,49,0
Cincinnati,Texas,65,59,0
Florida State,St. Bonaventure,66,63,0
West Virginia,Gonzaga,54,77,1
Loyola (MD),Ohio State,59,78,1
Kansas State,Syracuse,59,75,1
Wisconsin,Vanderbilt,60,57,1
Florida State,Cincinnati,56,62,1
Gonzaga,Ohio State,66,73,0
Syracuse,Wisconsin,64,63,0
Ohio State,Cincinnati,81,66,1
Syracuse,Ohio State,70,77,0
Louisville,Kentucky,61,69,1
Ohio State,Kansas,62,64,0
Kansas,Kentucky,59,67,1
