Team1,Team2,Points1,Points2,Result,G1,W1,L1,W-L%1,SRS1,SOS1,W1,L1,W1,L1,W1,L1,Tm.1,Opp.1,1,Pace1,ORtg1,FTr1,3PAr1,TS%1,TRB%1,AST%1,STL%1,BLK%1,eFG%1,TOV%1,ORB%1,FT/FGA1,AdjEM1,AdjO1,AdjD1,AdjT1,Luck1,SOS AdjEM1,OppO1,OppD1,NCSOS AdjEM1,G2,W2,L2,W-L%2,SRS2,SOS2,W2,L2,W2,L2,W2,L2,Tm.2,Opp.2,2,Pace2,ORtg2,FTr2,3PAr2,TS%2,TRB%2,AST%2,STL%2,BLK%2,eFG%2,TOV%2,ORB%2,FT/FGA2,AdjEM2,AdjO2,AdjD2,AdjT2,Luck2,SOS AdjEM2,OppO2,OppD2,NCSOS AdjEM2
Texas Southern,Xavier,83,102,0,36,16,20,.444,-7.53,-5.53,12,6,8,2,5,17,2787,2859,,72.7,105.7,.429,.370,.548,48.5,47.4,7.8,9.3,.505,15.1,28.2,.311,-6.65,104.6,111.2,71.7,-.010,-6.30,101.0,107.3,+17.20,35,29,6,.829,19.08,9.45,15,3,17,1,9,2,2953,2616,,72.4,115.4,.410,.358,.601,55.1,57.3,8.0,8.4,.559,15.2,29.9,.320,+21.51,120.1,98.6,70.5,+.091,+9.35,109.9,100.6,+1.84
Missouri,Florida State,54,67,0,33,20,13,.606,13.81,9.19,10,8,13,3,5,6,2399,2246,,67.3,107.1,.390,.453,.573,53.2,55.8,7.6,11.3,.537,18.3,31.1,.286,+14.83,111.9,97.0,65.7,-.025,+9.55,109.8,100.2,+1.07,35,23,12,.657,15.79,8.50,9,9,13,2,4,7,2806,2551,,72.2,109.4,.370,.368,.562,51.8,52.6,9.4,14.0,.532,15.4,31.7,.256,+17.77,114.3,96.5,71.2,-.029,+9.27,109.6,100.3,-6.91
South Dakota State,Ohio State,73,81,0,35,28,7,.800,6.84,-0.38,13,1,15,0,8,5,2958,2599,,72.3,115.6,.354,.432,.590,52.2,46.6,6.7,5.9,.554,12.3,24.7,.269,+10.20,113.8,103.6,70.5,+.097,-0.09,105.8,105.9,+3.59,34,25,9,.735,17.67,9.03,15,3,16,2,6,2,2591,2297,,68.0,110.9,.311,.342,.570,53.6,52.5,8.9,11.3,.541,14.9,29.8,.227,+21.16,116.0,94.9,67.0,+.020,+8.75,109.8,101.1,+0.26
Gonzaga,North Carolina-Greensboro,68,64,1,37,32,5,.865,18.43,2.59,17,1,15,1,10,1,3091,2505,,69.8,118.0,.321,.394,.593,56.0,50.1,8.9,9.6,.570,13.9,32.4,.227,+23.03,118.1,95.1,69.4,+.009,+1.57,106.4,104.8,+3.12,35,27,8,.771,4.54,-3.87,15,3,16,1,8,6,2562,2189,,66.9,107.1,.265,.452,.548,55.0,52.7,11.2,12.4,.525,17.1,34.1,.185,+9.22,104.9,95.7,65.2,-.024,-4.57,103.7,108.2,-3.46
San Diego State,Houston,65,67,0,33,22,11,.667,12.23,3.91,11,7,13,2,5,7,2545,2240,,70.4,109.6,.357,.360,.553,53.7,54.1,8.9,9.4,.519,14.6,31.8,.255,+14.09,110.5,96.4,68.8,-.032,+3.46,107.2,103.8,-0.80,35,27,8,.771,15.99,4.16,14,4,15,0,6,5,2685,2271,,68.5,111.9,.326,.372,.563,54.6,53.0,9.1,9.0,.533,14.9,33.4,.234,+20.24,114.6,94.4,68.4,-.015,+3.90,106.6,102.7,-3.08
Montana,Michigan,47,61,0,34,26,8,.765,6.28,-2.25,16,2,14,0,8,6,2625,2329,,70.0,108.7,.386,.272,.549,53.3,45.3,10.9,9.2,.513,15.0,33.1,.273,+10.40,108.8,98.4,68.0,-.000,-1.96,104.0,106.0,+2.09,41,33,8,.805,19.03,9.41,13,5,15,1,6,5,3019,2596,,65.9,110.8,.307,.433,.564,50.3,53.6,9.6,8.1,.545,12.4,24.9,.203,+24.20,114.7,90.5,64.9,+.052,+10.32,111.4,101.1,-4.83
Texas A&M,Providence,73,69,1,35,22,13,.629,15.30,10.62,9,9,13,3,4,7,2631,2467,,70.9,106.0,.320,.330,.538,54.3,55.1,7.7,15.3,.514,16.3,33.7,.212,+16.96,111.3,94.4,69.5,+.014,+11.69,111.8,100.1,+5.12,35,21,14,.600,11.12,10.23,10,8,13,4,4,7,2575,2544,,69.5,104.0,.386,.329,.534,49.6,53.9,9.6,9.8,.496,15.1,28.7,.272,+12.17,108.9,96.7,67.1,+.074,+10.58,111.6,101.1,-1.38
Lipscomb,North Carolina,66,84,0,33,23,10,.697,-2.10,-3.80,10,4,13,2,10,7,2708,2564,,77.0,105.0,.405,.399,.557,52.2,56.0,8.4,8.0,.518,16.9,28.3,.291,+0.43,103.2,102.8,74.9,+.112,-4.31,103.2,107.5,+5.84,37,26,11,.703,20.08,11.78,11,7,12,3,6,5,3018,2711,,71.7,113.4,.280,.351,.551,56.4,61.0,8.0,11.1,.520,14.0,37.4,.208,+23.59,120.3,96.7,71.2,-.011,+13.26,111.6,98.3,+7.58
Xavier,Florida State,70,75,0,35,29,6,.829,19.08,9.45,15,3,17,1,9,2,2953,2616,,72.4,115.4,.410,.358,.601,55.1,57.3,8.0,8.4,.559,15.2,29.9,.320,+21.51,120.1,98.6,70.5,+.091,+9.35,109.9,100.6,+1.84,35,23,12,.657,15.79,8.50,9,9,13,2,4,7,2806,2551,,72.2,109.4,.370,.368,.562,51.8,52.6,9.4,14.0,.532,15.4,31.7,.256,+17.77,114.3,96.5,71.2,-.029,+9.27,109.6,100.3,-6.91
Ohio State,Gonzaga,84,90,0,34,25,9,.735,17.67,9.03,15,3,16,2,6,2,2591,2297,,68.0,110.9,.311,.342,.570,53.6,52.5,8.9,11.3,.541,14.9,29.8,.227,+21.16,116.0,94.9,67.0,+.020,+8.75,109.8,101.1,+0.26,37,32,5,.865,18.43,2.59,17,1,15,1,10,1,3091,2505,,69.8,118.0,.321,.394,.593,56.0,50.1,8.9,9.6,.570,13.9,32.4,.227,+23.03,118.1,95.1,69.4,+.009,+1.57,106.4,104.8,+3.12
